filename, num_gunshots, gunshot_location (in seconds), ,,,,,,,,,,,,,,,,,,,,,
369d77b1-3141-40e2-8fb5-77d57d560472_v0,3,1.619773243,3.507959184,5.427460317,,,,,,,,,,,,,,,,,,,,
36f2e7bb-6cc1-4259-be90-956fb30034e1_v0,3,1.75,2.020498866,2.271020408,,,,,,,,,,,,,,,,,,,,
36f2e7bb-6cc1-4259-be90-956fb30034e1_v1,3,1.75,2.005011338,2.204217687,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3754edb6-7d4f-4432-820d-3829797748b7_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan0_v0,8,1.75,1.964852608,2.142358277,2.327664399,2.504444444,2.693718821,2.982947846,3.149387755,,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan1_v0,8,1.535124717,1.75,1.927528345,2.112698413,2.290068027,2.478752834,2.768027211,2.93446712,,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan2_v0,8,1.75,1.964852608,2.142358277,2.327664399,2.504444444,2.693673469,2.982947846,3.149387755,,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan3_v0,9,1.75,1.964852608,2.142358277,2.327664399,2.504444444,2.693673469,2.859183673,2.982947846,3.149387755,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan4_v0,8,1.535124717,1.75,1.927505669,2.112789116,2.289591837,2.478820862,2.768072562,2.934535147,,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan5_v0,8,1.75,1.964875283,2.142358277,2.327664399,2.504444444,2.693696145,2.982970522,3.149387755,,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_chan6_v0,9,1.75,1.96478458,2.142312925,2.327732426,2.504512472,2.693786848,2.858185941,2.983061224,3.149478458,,,,,,,,,,,,,,
37861b06-0455-47e7-89de-c18e357eb9c8_mean_v0,8,1.75,1.964897959,2.142358277,2.327732426,2.504512472,2.693764172,2.983038549,3.149478458,,,,,,,,,,,,,,,
379848cc-a90b-41dd-8eff-d5312678a40a_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
379848cc-a90b-41dd-8eff-d5312678a40a_v1,2,1.75,3.831995465,,,,,,,,,,,,,,,,,,,,,
379848cc-a90b-41dd-8eff-d5312678a40a_v2,1,1.75,,,,,,,,,,,,,,,,,,,,,,
379848cc-a90b-41dd-8eff-d5312678a40a_v3,2,1.742176871,3.931746032,,,,,,,,,,,,,,,,,,,,,
37d36527-f72e-4d54-b388-17645e2d08c2_v0,3,1.75,3.104897959,4.758752834,,,,,,,,,,,,,,,,,,,,
37dc7a62-1511-4902-a743-4233ddcc92ec_v0,1,1.613174603,,,,,,,,,,,,,,,,,,,,,,
37fdab6a-0479-43ab-8f79-721bdc2e9d4b_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
38418f60-7adf-4582-a1d2-ffa632fd77d4_v0,6,1.514013605,1.75,1.995056689,2.193786848,2.444557823,2.661337868,,,,,,,,,,,,,,,,,
384d1064-178e-47ef-864f-650dbff5b577_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
38b6848e-00da-4fd3-ac1d-5073cdbe0366_v0,3,1.647188209,2.516031746,2.963945578,,,,,,,,,,,,,,,,,,,,
38ca03e0-5aaa-44bb-b80e-34fd62bcf0c6_v0,3,1.75,2.61845805,3.066734694,,,,,,,,,,,,,,,,,,,,
394e9cea-0064-4954-9758-5ed7158bc06a_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3a0f49f7-adc0-40bf-bd3c-aa6e4072995c_v0,6,1.75,2.914512472,4.072789116,5.226235828,6.30893424,7.380929705,,,,,,,,,,,,,,,,,
3a7d7603-f763-4bfb-900d-c8fab8cf3813_v0,6,1.75,2.919319728,4.073287982,5.226575964,6.313310658,7.381201814,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan0_v0,6,1.746825397,2.043945578,2.331995465,2.609705215,2.899659864,3.176190476,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan1_v0,6,1.75,2.047120181,2.335124717,2.612879819,2.902834467,3.179342404,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan2_v0,6,1.75,2.047120181,2.335918367,2.613650794,2.902743764,3.176077098,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan3_v0,6,1.75,2.047936508,2.335147392,2.609818594,2.902834467,3.179342404,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan4_v0,6,1.75,2.043877551,2.335147392,2.609637188,2.899591837,3.176099773,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan5_v0,6,1.75,2.047120181,2.335170068,2.612879819,2.902857143,3.179387755,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_chan6_v0,6,1.75,2.047142857,2.335147392,2.61292517,2.902857143,3.179410431,,,,,,,,,,,,,,,,,
3ab0f1bb-f7fe-4cfe-a78e-11a263f75819_mean_v0,6,1.75,2.047120181,2.335147392,2.612857143,2.902834467,3.179342404,,,,,,,,,,,,,,,,,
3bfce3a1-3fab-46fe-8fff-ca561406e625_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3bfce3a1-3fab-46fe-8fff-ca561406e625_chan0_v1,1,1.626802721,,,,,,,,,,,,,,,,,,,,,,
3bfce3a1-3fab-46fe-8fff-ca561406e625_chan1_v0,1,1.705034014,,,,,,,,,,,,,,,,,,,,,,
3bfce3a1-3fab-46fe-8fff-ca561406e625_mean_v0,1,1.738412698,,,,,,,,,,,,,,,,,,,,,,
3bfce3a1-3fab-46fe-8fff-ca561406e625_mean_v1,1,2.903922902,,,,,,,,,,,,,,,,,,,,,,
3c614c69-5845-4058-8120-5e4de147030a_v2,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c614c69-5845-4058-8120-5e4de147030a_v3,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c614c69-5845-4058-8120-5e4de147030a_v4,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c614c69-5845-4058-8120-5e4de147030a_v5,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3c7089ad-a3ef-4159-b45c-a57cc64fa254_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3ca1d261-51c7-498d-880c-5b0848cd7b9a_v0,6,1.659614512,2.013741497,2.359750567,2.711496599,3.053151927,3.392063492,,,,,,,,,,,,,,,,,
3d9e54b9-d9ad-4ed9-acb9-3af327860876_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3de9cd1a-f889-4834-8b92-968e4ef4e770_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3e29af22-dbee-4c22-8ef9-a4d5165d5ad3_v0,3,1.627755102,3.515306122,5.434852608,,,,,,,,,,,,,,,,,,,,
3e9e857b-ad46-45b1-bf87-863782c4b871_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
3efc8c09-6612-4704-8eed-fd3442ef0cd6_v0,6,1.426553288,1.75,2.063469388,2.365782313,2.681428571,2.982426304,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan0_v0,5,1.75,1.961451247,2.157641723,2.370657596,2.552675737,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan1_v0,5,1.75,1.961428571,2.157619048,2.370612245,2.552653061,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan2_v0,5,1.75,1.961405896,2.157641723,2.370612245,2.552653061,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan3_v0,5,1.53861678,1.75,1.946235828,2.159251701,2.341179138,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan4_v0,5,1.75,1.961473923,2.157641723,2.370680272,2.552630385,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan5_v0,5,1.75,1.961473923,2.157664399,2.370680272,2.552630385,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_chan6_v0,5,1.75,1.961269841,2.136870748,2.34984127,2.531836735,,,,,,,,,,,,,,,,,,
3f294bc9-6278-4040-bbff-7547ca7ecde3_mean_v0,5,1.75,1.964399093,2.160566893,2.373605442,2.555578231,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan0_v0,3,1.75,1.885260771,2.270204082,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan1_v0,3,1.75,1.884195011,2.27047619,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan2_v0,2,1.75,2.270181406,,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan3_v0,2,1.75,2.27047619,,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan4_v0,2,1.75,2.270498866,,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan5_v0,2,1.75,2.270249433,,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_chan6_v0,2,1.75,2.270498866,,,,,,,,,,,,,,,,,,,,,
3f5138a7-0f5b-4ead-b551-3475032820fb_mean_v0,2,1.75,2.270181406,,,,,,,,,,,,,,,,,,,,,
3fe57c53-ba00-4e91-b719-8239eebdbebd_v0,5,1.660498866,1.908503401,2.114058957,2.315170068,2.516961451,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
406b0f75-2c99-4b65-9b34-ab83ecd488b3_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
414311b0-baa1-46bb-b500-81e48be48770_v0,3,1.75,2.021247166,2.27031746,,,,,,,,,,,,,,,,,,,,
414311b0-baa1-46bb-b500-81e48be48770_v1,3,1.75,1.990589569,2.20324263,,,,,,,,,,,,,,,,,,,,
41692623-c231-44d4-867a-1089f722a583_v0,5,1.75,2.067414966,2.390680272,2.704376417,3.015736961,,,,,,,,,,,,,,,,,,
41b3d578-a45b-42a1-bc16-14894750debb_v0,2,0.224943311,1.890589569,,,,,,,,,,,,,,,,,,,,,
41b3d578-a45b-42a1-bc16-14894750debb_v1,7,1.75,3.608185941,4.947142857,6.552517007,7.498004535,8.728526077,10.72723356,,,,,,,,,,,,,,,,
42899483-3654-4ed6-af56-48662821f13a_chan0_v0,9,1.75,2.246802721,2.38829932,2.616439909,2.760816327,3.262108844,3.383378685,3.531814059,3.758480726,,,,,,,,,,,,,,
42899483-3654-4ed6-af56-48662821f13a_chan1_v0,8,1.75,1.926848073,2.359750567,2.714875283,2.84814059,3.212040816,3.427142857,3.683446712,,,,,,,,,,,,,,,
42899483-3654-4ed6-af56-48662821f13a_mean_v0,12,1.75,2.068639456,2.244988662,2.43185941,2.611269841,2.796507937,2.985419501,3.175895692,3.34170068,3.664126984,3.927936508,4.094875283,,,,,,,,,,,
431c5ed1-1e8f-4e68-9b91-580abc61d091_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
431c5ed1-1e8f-4e68-9b91-580abc61d091_v1,4,1.75,3.628639456,5.859115646,7.600589569,,,,,,,,,,,,,,,,,,,
433e4384-110a-45d2-8b73-61e99f6cf979_v0,6,1.713197279,2.036575964,2.350045351,2.652380952,2.968049887,3.269070295,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan0_v0,4,1.75,2.325328798,3.044126984,3.777619048,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan1_v0,4,1.75,2.325283447,3.044126984,3.777641723,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan2_v0,4,1.75,2.325328798,3.044126984,3.777687075,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan3_v0,4,1.75,2.325260771,3.044104308,3.777641723,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan4_v0,4,1.75,2.325260771,3.04260771,3.777687075,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan5_v0,4,1.75,2.325260771,3.044126984,3.777619048,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_chan6_v0,4,1.75,2.324285714,3.04414966,3.777641723,,,,,,,,,,,,,,,,,,,
43f25ccb-4d7c-4fed-9cc5-cd2da5c2e4ce_mean_v0,4,1.75,2.32521542,3.044013605,3.777619048,,,,,,,,,,,,,,,,,,,
44909f1f-a85b-4743-aba0-69f9861e1a95_v0,3,1.75,2.547437642,2.959138322,,,,,,,,,,,,,,,,,,,,
44d4ef73-d556-4651-b826-6d06c9ae67ed_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan0_v0,6,1.75,2.047165533,2.335170068,2.612811791,2.902947846,3.179478458,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan1_v0,6,1.75,2.047097506,2.335147392,2.612947846,2.902993197,3.181020408,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan2_v0,6,1.75,2.047142857,2.335147392,2.61292517,2.90292517,3.17952381,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan3_v0,6,1.75,2.047097506,2.335102041,2.612834467,2.902993197,3.179546485,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan4_v0,6,1.75,2.047120181,2.335147392,2.61292517,2.902947846,3.179501134,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan5_v0,6,1.75,2.047120181,2.335238095,2.612993197,2.902993197,3.179546485,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_chan6_v0,6,1.75,2.047120181,2.335260771,2.61292517,2.902993197,3.179569161,,,,,,,,,,,,,,,,,
46d64add-0759-4314-8d50-e764f78208d7_mean_v0,6,1.75,2.04707483,2.335102041,2.612879819,2.90292517,3.17952381,,,,,,,,,,,,,,,,,
46f0b726-dd48-4f7c-bb80-45702596956f_v0,6,1.709319728,1.939478458,2.153061224,2.384943311,2.602539683,2.819183673,,,,,,,,,,,,,,,,,
476e16b1-1bf5-4c04-abcb-ebec15898526_v0,13,1.423537415,1.5161678,1.75,1.947324263,2.144739229,2.337120181,2.5430839,2.742222222,2.944036281,3.15707483,3.367505669,3.578276644,3.782244898,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
47ec5352-1b86-477b-9852-b13901c7eb4d_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
48e70f7b-e1e0-447a-b5ec-9ca1a0161a7f_chan1_v0,3,1.745056689,2.077120181,2.246870748,,,,,,,,,,,,,,,,,,,,
48e70f7b-e1e0-447a-b5ec-9ca1a0161a7f_mean_v0,3,1.526417234,1.742244898,1.99260771,,,,,,,,,,,,,,,,,,,,
48ea58b4-b57d-41a2-9e26-c03ea389dff2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4927b6ef-d78c-46e1-a099-0921fe79eced_v0,2,1.75,2.922154195,,,,,,,,,,,,,,,,,,,,,
4927b6ef-d78c-46e1-a099-0921fe79eced_v1,3,1.75,2.473356009,3.153877551,,,,,,,,,,,,,,,,,,,,
4a128997-7f4e-4e11-8136-69c778f6711c_chan0_v0,5,1.75,1.869183673,2.290453515,2.447142857,2.763582766,,,,,,,,,,,,,,,,,,
4a128997-7f4e-4e11-8136-69c778f6711c_chan1_v0,5,1.498866213,1.75,1.9038322,2.206145125,2.427437642,,,,,,,,,,,,,,,,,,
4a128997-7f4e-4e11-8136-69c778f6711c_mean_v0,5,1.749455782,2.112086168,2.285555556,2.456643991,2.654104308,,,,,,,,,,,,,,,,,,
4a48b77c-72bf-4917-b8b0-da4f8b20a24b_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4a48b77c-72bf-4917-b8b0-da4f8b20a24b_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4a48b77c-72bf-4917-b8b0-da4f8b20a24b_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4a48b77c-72bf-4917-b8b0-da4f8b20a24b_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4a48b77c-72bf-4917-b8b0-da4f8b20a24b_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4a48b77c-72bf-4917-b8b0-da4f8b20a24b_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4a500aeb-23a6-4c3c-9438-1e05aeedaa68_v0,1,1.573537415,,,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan0_v0,3,1.75,2.551814059,3.589659864,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan1_v0,3,1.75,2.551768707,3.589773243,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan2_v0,3,1.75,2.551814059,3.58968254,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan3_v0,3,1.75,2.551836735,3.589637188,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan4_v0,3,1.75,2.551814059,3.589637188,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan5_v0,3,1.75,2.551814059,3.589614512,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_chan6_v0,3,1.75,2.551814059,3.589727891,,,,,,,,,,,,,,,,,,,,
4a7d254f-44ac-4f83-b931-c1d683486577_mean_v0,3,1.75,2.551768707,3.589659864,,,,,,,,,,,,,,,,,,,,
4a8f0528-491b-408b-9c2d-96ab0e8e6dc4_chan0_v0,4,0.520680272,1.75,3.38430839,4.568367347,,,,,,,,,,,,,,,,,,,
4a8f0528-491b-408b-9c2d-96ab0e8e6dc4_chan1_v0,3,0.405442177,1.58984127,2.72292517,,,,,,,,,,,,,,,,,,,,
4a8f0528-491b-408b-9c2d-96ab0e8e6dc4_mean_v0,4,0.100521542,1.629546485,3.933537415,5.523424036,,,,,,,,,,,,,,,,,,,
4a8f0528-491b-408b-9c2d-96ab0e8e6dc4_mean_v1,6,0.685464853,1.610045351,3.212993197,4.458276644,5.401156463,7.383219955,,,,,,,,,,,,,,,,,
4c374fa3-f600-409f-a01e-684c006bc381_v0,1,1.778390023,,,,,,,,,,,,,,,,,,,,,,
4dde8c51-f8a3-45ce-9822-819d696ae966_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4dde8c51-f8a3-45ce-9822-819d696ae966_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4dde8c51-f8a3-45ce-9822-819d696ae966_chan3_v0,1,1.749637188,,,,,,,,,,,,,,,,,,,,,,
4dde8c51-f8a3-45ce-9822-819d696ae966_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4dde8c51-f8a3-45ce-9822-819d696ae966_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4e71b50f-beaa-47b3-bdc8-4aaefe9b65b6_v0,1,1.695056689,,,,,,,,,,,,,,,,,,,,,,
4e8d1acb-504a-4383-b51a-40919612aaa8_v0,3,1.512403628,1.75,2.022675737,,,,,,,,,,,,,,,,,,,,
4eb850aa-f3ed-49de-8778-ede8c8fc35d2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f323e9a-51e4-406a-a459-f1244a4280ea_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
4f5aefa2-101c-4384-bec8-8be7aa988a38_v0,1,1.713469388,,,,,,,,,,,,,,,,,,,,,,
4f7e0200-503d-4ae9-abfb-cbe61248d962_v0,1,1.700294785,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan0_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan1_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan2_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan3_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan4_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan5_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_chan6_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
50e34be8-c0b4-4fc5-80fc-4c52f2ffde7a_mean_v0,1,1.75,,,,,,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan0_v0,6,1.75,2.047664399,2.335260771,2.612879819,2.902902494,3.178163265,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan1_v0,6,1.75,2.048979592,2.337006803,2.61414966,2.904172336,3.180680272,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan2_v0,6,1.75,2.047664399,2.335260771,2.613446712,2.902902494,3.179591837,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan3_v0,6,1.75,2.047709751,2.336054422,2.613492063,2.90292517,3.179637188,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan4_v0,6,1.75,2.047210884,2.335260771,2.612653061,2.902675737,3.179160998,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan5_v0,6,1.75,2.047664399,2.335260771,2.613401361,2.902879819,3.179637188,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_chan6_v0,6,1.75,2.047981859,2.336077098,2.613174603,2.903174603,3.17968254,,,,,,,,,,,,,,,,,
519d8ad8-2ccf-4ad9-a0ba-689ee0052fae_mean_v0,6,1.75,2.047664399,2.335668934,2.613424036,2.902947846,3.179478458,,,,,,,,,,,,,,,,,
51d577b8-498c-4278-8b0e-8a8d499de626_v0,6,1.75,2.101746032,2.447755102,2.799546485,3.141201814,3.480090703,,,,,,,,,,,,,,,,,
51e8f00c-9563-46b7-ab98-430ce0e62493_v0,1,1.651496599,,,,,,,,,,,,,,,,,,,,,,
51e8f00c-9563-46b7-ab98-430ce0e62493_v1,3,1.651655329,3.539659864,5.434489796,,,,,,,,,,,,,,,,,,,,
51e8f00c-9563-46b7-ab98-430ce0e62493_v2,2,1.656371882,3.830839002,,,,,,,,,,,,,,,,,,,,,
